symbol,name,totalVolume
meshspirit,Mesh Spirits,162065910
bitcorns,Bitcorns,160673880
holymath,HolyMath by ORKHAN,160552650
pom,Pepe Ordinals Maxi,160447460
the-classics-the_dan_files,The Classics from The Dan Files,160000000
satoshispets,Satoshi's Pets ,159900000
life_is_crazy,LIFE IS CRAZY,159223034
bitcoin4yearcycle,Bitcoin 4 Year Cycle Journey - Bob Loukas,159053090
runerocks,Rune Rocks,158965072
ordinalhub-badges,OrdinalHub Badges,157399300
bitcubes,BitCubes,157374499
dogpfp,DOG,156742674
btcoperators,BTC OPERATORS,156238990
pixel-doges,Pixel Doges,156122889
btcbrobear,Bitcoin Bro Bear,155897233
glowies,Glowies,154693451
forgotten-btc-punks,Forgotten BTC Punks,154454000
runedogecoin,RuneDogecoin,153928079
ordinals-egg,OrdinalsEgg,153785907
butt-mullets,Butt Mullets,152884362
arrangements,Arrangements,152656301
propper-indexxded-shids,Propper indexxded shids,152498669
rigelians,Rigelians,150879362
ordinal-chains-by-rudxane,Ordinal Chains by rudxane,150500000
anons,Anons,149734022
rax_recursive2,!+01/🔥 by Rax,149322000
cyberpepes,CyberPepes,149000000
skullx-hell-raiders,Skullx: Hell Raiders,148347170
natconics,DMT-Natconics,147235864
nature,Nature on Bitcoin,146750000
brutal-edge,BRUTAL EDGE by Far and Harto,146600768
rareordinals,Rare Ordinals,145889000
nomos,NOMOS,145790422
bitamigos,Bitamigos,145676392
exquisite,Exquisite by Harto,142609381
ordinal-insiders,CLASSIFIED (CC) - CHAPTER I,142489911
btc-evil-kw,Dark Uffie,141352400
